date,CUR_MKT_CAP
2020-09-01,1441.4969
2020-09-02,1452.9266
2020-09-03,1397.5216
2020-09-04,1377.2775
2020-09-08,1344.6351
2020-09-09,1367.2039
2020-09-10,1353.3527
2020-09-11,1367.0102
2020-09-14,1381.4426
2020-09-15,1508.6221
2020-09-16,1694.1124
2020-09-17,1584.7554
2020-09-18,1545.817
2020-09-21,1473.8487
2020-09-22,1494.0928
2020-09-23,1436.2663
2020-09-24,1414.763
2020-09-25,1415.441
2020-09-28,1467.0684
2020-09-29,1449.9238
2020-09-30,1458.3508
2020-10-01,1442.8529
2020-10-02,1418.6375
2020-10-05,1435.5883
2020-10-06,1453.314
2020-10-07,1482.8568
2020-10-08,1587.9519
2020-10-09,1595.6039
2020-10-12,1612.361
2020-10-13,1608.6803
2020-10-14,1590.8577
2020-10-15,1607.6148
2020-10-16,1595.3134
2020-10-19,1589.8891
2020-10-20,1637.6419
2020-10-21,1753.6823
2020-10-22,1773.0547
2020-10-23,1785.1624
2020-10-26,1695.081
2020-10-27,1627.0979
2020-10-28,1502.6423
2020-10-29,1500.8815
2020-10-30,1548.2359
2020-11-02,1543.6024
2020-11-03,1593.4588
2020-11-04,1598.8336
2020-11-05,1683.6266
2020-11-06,1720.1385
2020-11-09,1714.4393
2020-11-10,1724.9573
2020-11-11,1780.7446
2020-11-12,1732.3709
2020-11-13,1781.764
2020-11-16,1889.8171
2020-11-17,1929.3871
2020-11-18,1973.498
2020-11-19,2011.956
2020-11-20,2058.2909
2020-11-23,2045.7805
2020-11-24,2291.0777
2020-11-25,2504.6355
2020-11-27,2513.7634
2020-11-30,3176.4458
2020-12-01,3002.5044
2020-12-02,2977.6689
2020-12-03,3072.9336
2020-12-04,3039.5724
2020-12-07,3115.747
2020-12-08,2682.33
2020-12-09,2652.3049
2020-12-10,2690.4849
2020-12-11,2649.6175
2020-12-14,2590.4014
2020-12-15,2648.4128
2020-12-16,2771.9417
2020-12-17,2759.7093
2020-12-18,2791.2171
2020-12-21,2943.1957
2020-12-22,3072.0069
2020-12-23,3124.6434
2020-12-24,2989.6233
2020-12-28,3428.7859
2020-12-29,3392.3667
2020-12-30,3613.8477
2020-12-31,3600.6886
2021-01-04,3940.5091
2021-01-05,3972.1095
2021-01-06,4453.2516
2021-01-07,4964.7894
2021-01-08,4926.702
2021-01-11,4591.7004
2021-01-12,4765.4564
2021-01-13,4811.9767
2021-01-14,5847.4701
2021-01-15,5356.9683
2021-01-19,5488.0036
2021-01-20,5104.4429
2021-01-21,4823.0971
2021-01-22,5347.3307
2021-01-25,5295.3429
2021-01-26,5187.7531
2021-01-27,5005.1008
2021-01-28,5544.8811
2021-01-29,5918.151
2021-02-01,6083.5267
2021-02-02,6595.089
2021-02-03,7105.7885
2021-02-04,7339.7113
2021-02-05,7727.122
2021-02-08,9980.067
2021-02-09,12203.6758
2021-02-10,9342.3398
2021-02-11,9682.2948
2021-02-12,9915.93
2021-02-16,9155.606
2021-02-17,9029.0573
2021-02-18,8894.6473
2021-02-19,9239.2048
2021-02-22,8398.2313
2021-02-23,6626.8372
2021-02-24,7839.212
2021-02-25,7013.9612
2021-02-26,7194.1972
2021-03-01,7501.2695
2021-03-02,7175.886
2021-03-03,7013.5777
2021-03-04,6189.9566
2021-03-05,5946.2545
2021-03-08,5984.1233
2021-03-09,6864.2119
2021-03-10,7253.0615
2021-03-11,7705.5689
2021-03-12,7516.2252
2021-03-15,7372.5158
2021-03-16,6943.7842
2021-03-17,7391.4981
2021-03-18,7018.1795
2021-03-19,7449.4996
2021-03-22,6946.3727
2021-03-23,6492.4272
2021-03-24,5959.0053
2021-03-25,5952.6778
2021-03-26,5982.3017
2021-03-29,6052.6705
2021-03-30,6269.7206
2021-03-31,6507.6705
2021-04-01,6745.0452
2021-04-05,6907.9287
2021-04-06,6754.824
2021-04-07,6291.0038
2021-04-08,6616.1956
2021-04-09,6816.3726
2021-04-12,6885.7827
2021-04-13,8134.9716
2021-04-14,7051.2547
2021-04-15,7213.2007
2021-04-16,6759.7382
2021-04-19,6213.0104
2021-04-20,6300.0386
2021-04-21,6339.1184
2021-04-22,5829.8137
2021-04-23,5974.4383
2021-04-26,6420.5916
2021-04-27,6597.669
2021-04-28,6634.9946
2021-04-29,6383.4609
2021-04-30,6404.4139
2021-05-03,6194.4938
2021-05-04,6011.8614
2021-05-05,6075.89
2021-05-06,5935.8458
2021-05-07,6046.7506
2021-05-10,5549.7254
2021-05-11,5622.8173
2021-05-12,5280.9419
2021-05-13,4756.629
2021-05-14,5080.4751
2021-05-17,4769.0059
2021-05-18,4748.0529
2021-05-19,4432.8804
2021-05-20,4606.352
2021-05-21,4390.5846
2021-05-24,4604.3054
2021-05-25,4577.2127
2021-05-26,4705.0748
2021-05-27,4812.8611
2021-05-28,4580.4287
2021-06-01,4656.0545
2021-06-02,4858.1781
2021-06-03,4762.0866
2021-06-04,4723.3966
2021-06-07,4578.577
2021-06-08,4476.9305
2021-06-09,4999.3918
2021-06-10,4957.0959
2021-06-11,5033.014
2021-06-14,5832.64
2021-06-15,6144.9862
2021-06-16,6040.5135
2021-06-17,6147.6175
2021-06-18,6300.1361
2021-06-21,5688.2103
2021-06-22,5396.3298
2021-06-23,5389.3129
2021-06-24,5670.7657
2021-06-25,5360.5634
2021-06-28,6082.9068
2021-06-29,6519.7043
2021-06-30,6475.9465
2021-07-01,6343.0167
2021-07-02,6194.3964
2021-07-06,6181.5322
2021-07-07,6235.8151
2021-07-08,6027.0645
2021-07-09,6126.6645
2021-07-12,5737.1331
2021-07-13,5651.2745
2021-07-14,5461.7227
2021-07-15,5272.7556
2021-07-16,5097.8222
2021-07-19,4860.3221
2021-07-20,4890.1437
2021-07-21,5427.7106
2021-07-22,5417.965
2021-07-23,5259.794
2021-07-26,6651.3672
2021-07-27,6145.6684
2021-07-28,6301.9877
2021-07-29,6091.0931
2021-07-30,6102.0124
2021-08-02,6216.8376
2021-08-03,6092.7523
2021-08-04,6539.8687
2021-08-05,6975.4831
2021-08-06,7298.1242
2021-08-09,7483.4236
2021-08-10,7315.3773
2021-08-11,7286.1349
2021-08-12,7027.827
2021-08-13,7096.1567
2021-08-16,6798.9564
2021-08-17,6469.297
2021-08-18,6385.0789
2021-08-19,6591.8227
2021-08-20,6984.6457
2021-08-23,7003.6532
2021-08-24,7144.6403
2021-08-25,7256.578
2021-08-26,6926.5565
2021-08-27,7061.7605
2021-08-30,7019.7214
2021-08-31,6932.9472
2021-09-01,7014.8285
2021-09-02,6947.0268
2021-09-03,7112.2872
2021-09-07,6470.7175
2021-09-08,6376.9534
2021-09-09,6396.9245
2021-09-10,6146.7872
2021-09-13,6621.5112
2021-09-14,6371.9811
2021-09-15,6521.5756
2021-09-16,6521.5756
2021-09-17,6328.813
2021-09-20,6061.9745
2021-09-21,5986.044
2021-09-22,6177.5702
2021-09-23,6352.3031
2021-09-24,6175.3036
2021-09-27,6127.4993
2021-09-28,5908.6711
2021-09-29,5834.595
2021-09-30,5959.051
2021-10-01,6309.9592
2021-10-04,6256.2824
2021-10-05,6707.1262
2021-10-06,6942.0266
2021-10-07,7137.5708
2021-10-08,7302.7222
2021-10-11,7539.4771
2021-10-12,7321.5761
2021-10-13,7482.8125
2021-10-14,7458.6013
2021-10-15,7725.4399
2021-10-18,7620.2498
2021-10-19,7492.6
2021-10-20,7811.2609
2021-10-21,7576.8757
2021-10-22,7402.6579
2021-10-25,7685.9807
2021-10-26,7571.0032
2021-10-27,7366.5987
2021-10-28,7388.3372
2021-10-29,7367.0108
2021-11-01,7583.9845
2021-11-02,8181.7441
2021-11-03,8347.7197
2021-11-04,8242.1176
2021-11-05,8216.464
2021-11-08,8860.2764
2021-11-09,8850.0768
2021-11-10,8410.4629
2021-11-11,8431.2742
2021-11-12,8362.9676
2021-11-15,8190.6044
2021-11-16,7747.7966
2021-11-17,7757.8932
2021-11-18,7493.7333
2021-11-19,7400.4944
2021-11-22,7109.0325
2021-11-23,7178.5754
2021-11-24,7221.1253
2021-11-26,6830.655
2021-11-29,7600.6297
2021-11-30,7884.2271
2021-12-01,7709.8065
2021-12-02,7468.1749
2021-12-03,6895.8436
2021-12-06,6518.588
2021-12-07,6865.0249
2021-12-08,6956.4974
2021-12-09,6468.4257
2021-12-10,6566.346
2021-12-13,6247.2306
2021-12-14,6342.7467
2021-12-15,6541.7567
2021-12-16,6195.8662
2021-12-17,6246.5749
2021-12-20,5971.2832
2021-12-21,6201.9862
2021-12-22,6229.1984
2021-12-23,6526.6752
2021-12-27,6647.6549
2021-12-28,6207.1226
2021-12-29,6077.2907
2021-12-30,6145.5945
2021-12-31,5950.5189
2022-01-03,6194.659
2022-01-04,6114.8761
2022-01-05,5649.1615
2022-01-06,5532.8715
2022-01-07,5358.9914
2022-01-10,5347.895
2022-01-11,5620.9767
2022-01-12,5710.6353
2022-01-13,5432.6713
2022-01-14,5543.3021
2022-01-18,5196.2077
2022-01-19,5108.9902
2022-01-20,5076.9217
2022-01-21,4171.0141
2022-01-24,4110.6499
2022-01-25,4050.7295
2022-01-26,3924.2309
2022-01-27,3544.7351
2022-01-28,3761.1143
2022-01-31,4083.5748
2022-02-01,4138.9456
2022-02-02,3937.0082
2022-02-03,3838.2557
2022-02-04,4420.049
2022-02-07,4666.4224
2022-02-08,4801.403
2022-02-09,5040.3276
2022-02-10,4869.6833
2022-02-11,4638.6589
2022-02-14,4621.5041
2022-02-15,4934.6906
2022-02-16,4908.9316
2022-02-17,4566.0805
2022-02-18,4468.6874
2022-02-22,4262.5028
2022-02-23,4119.5165
2022-02-24,4479.8599
2022-02-25,4570.5947
2022-02-28,4999.4406
2022-03-01,5244.6728
2022-03-02,5183.2801
2022-03-03,4838.0591
2022-03-04,4631.0845
2022-03-07,4389.0123
2022-03-08,4631.0845
2022-03-09,4928.9067
2022-03-10,4752.6285
2022-03-11,4410.5675
2022-03-14,4174.8151
