date,PX_LAST
2021-10-19,17.4896
2021-10-20,18.0484
2021-10-21,17.0267
2021-10-22,16.4762
2021-10-25,16.9225
2021-10-26,16.7056
2021-10-27,15.8716
2021-10-28,16.5013
2021-10-29,16.8432
2021-11-01,16.4846
2021-11-02,17.0893
2021-11-03,16.8474
2021-11-04,16.3887
2021-11-05,16.372
2021-11-08,17.7481
2021-11-09,18.0651
2021-11-10,17.6439
2021-11-11,17.3561
2021-11-12,17.1476
2021-11-15,17.0517
2021-11-16,15.9383
2021-11-17,16.1343
2021-11-18,15.4754
2021-11-19,15.4337
2021-11-22,14.8833
2021-11-23,15.4337
2021-11-24,15.3003
2021-11-26,14.362
2021-11-29,15.4587
2021-11-30,15.2586
2021-12-01,15.0459
2021-12-02,15.1335
2021-12-03,14.1326
2021-12-06,12.9483
2021-12-07,13.3987
2021-12-08,13.4487
2021-12-09,12.598
2021-12-10,12.8232
2021-12-13,12.327
2021-12-14,12.6439
2021-12-15,13.0317
2021-12-16,12.6606
2021-12-17,12.2144
2021-12-20,12.4187
2021-12-21,12.8607
2021-12-22,12.965
2021-12-23,13.4863
2021-12-27,13.5363
2021-12-28,12.6105
2021-12-29,12.4646
2021-12-30,12.4312
2021-12-31,12.0517
2022-01-03,12.0726
2022-01-04,12.1852
2022-01-05,11.5263
2022-01-06,11.3762
2022-01-07,11.0134
2022-01-10,10.9717
2022-01-11,11.2636
2022-01-12,11.5179
2022-01-13,11.2427
2022-01-14,11.3303
2022-01-18,10.9591
2022-01-19,10.9258
2022-01-20,11.2177
2022-01-21,10.0501
2022-01-24,9.7915
2022-01-25,9.6831
2022-01-26,9.6956
2022-01-27,9.3036
2022-01-28,9.9124
2022-01-31,10.0751
2022-02-01,10.0918
2022-02-02,9.8332
2022-02-03,9.5246
2022-02-04,10.6589
2022-02-07,11.6055
2022-02-08,11.643
2022-02-09,11.7723
2022-02-10,11.568
2022-02-11,11.1134
2022-02-14,11.0634
2022-02-15,11.593
2022-02-16,11.5763
2022-02-17,10.7173
2022-02-18,10.4712
2022-02-22,9.9208
2022-02-23,9.8457
2022-02-24,10.0334
2022-02-25,10.2294
2022-02-28,11.0008
2022-03-01,11.5847
2022-03-02,11.5013
2022-03-03,11.0134
2022-03-04,10.3336
2022-03-07,9.8249
2022-03-08,10.0709
2022-03-09,10.9758
2022-03-10,10.367
2022-03-11,10.0167
2022-03-14,10.1418
2022-03-15,10.4045
2022-03-16,10.7006
2022-03-17,10.6964
2022-03-18,11.0217
2022-03-21,10.7798
2022-03-22,11.0842
2022-03-23,11.0509
2022-03-24,11.5221
2022-03-25,11.6514
2022-03-28,12.5646
2022-03-29,12.5021
2022-03-30,12.3019
2022-03-31,11.9099
2022-04-01,12.1393
2022-04-04,12.0017
2022-04-05,12.0267
2022-04-06,11.4012
2022-04-07,11.2886
2022-04-08,11.1259
2022-04-11,10.3878
2022-04-12,10.2127
2022-04-13,10.7048
2022-04-14,10.3753
2022-04-18,10.588
2022-04-19,10.8132
2022-04-20,10.734
2022-04-21,10.734
2022-04-22,10.2711
2022-04-25,10.4671
2022-04-26,9.95
2022-04-27,10.1043
2022-04-28,10.4003
2022-04-29,9.9416
2022-05-02,10.0084
2022-05-03,9.7707
2022-05-04,10.3712
2022-05-05,9.4287
2022-05-06,9.337
2022-05-09,8.0192
2022-05-10,8.1068
2022-05-11,7.5813
2022-05-12,7.3853
2022-05-13,7.7898
2022-05-16,7.6397
2022-05-17,7.7857
2022-05-18,7.5605
2022-05-19,7.7648
2022-05-20,7.5855
2022-05-23,7.5229
2022-05-24,7.598
2022-05-25,7.6522
2022-05-26,7.6022
2022-05-27,7.4604
2022-05-31,8.186
2022-06-01,7.7773
2022-06-02,7.844
2022-06-03,7.648
2022-06-06,8.1568
2022-06-07,8.0442
2022-06-08,7.7898
2022-06-09,7.7523
2022-06-10,7.4854
2022-06-13,5.9716
2022-06-14,5.7256
2022-06-15,5.588
2022-06-16,5.3878
2022-06-17,5.3044
2022-06-21,5.4003
2022-06-22,5.2002
2022-06-23,5.4003
2022-06-24,5.4879
2022-06-27,5.367
2022-06-28,5.2002
2022-06-29,5.2043
2022-06-30,4.8415
2022-07-01,4.9875
2022-07-05,5.2669
2022-07-06,5.2377
2022-07-07,5.6422
2022-07-08,5.6214
2022-07-11,5.2794
2022-07-12,4.9833
2022-07-13,5.0542
2022-07-14,5.3169
2022-07-15,5.4629
2022-07-18,5.5755
2022-07-19,6.0509
2022-07-20,6.1051
2022-07-21,6.0008
2022-07-22,5.8299
2022-07-25,5.6464
2022-07-26,5.3878
2022-07-27,5.8882
2022-07-28,6.1676
2022-07-29,6.1843
2022-08-01,5.9258
2022-08-02,5.9174
2022-08-03,6.0592
2022-08-04,5.7673
2022-08-05,5.9091
2022-08-08,6.1676
2022-08-09,5.9341
2022-08-10,6.0884
2022-08-11,6.2469
2022-08-12,6.2385
2022-08-15,6.1718
2022-08-16,6.1593
2022-08-17,5.9675
2022-08-18,6.0008
2022-08-19,5.4546
2022-08-22,5.392
2022-08-23,5.5254
2022-08-24,5.5671
2022-08-25,5.5213
2022-08-26,5.2502
2022-08-29,5.1376
2022-08-30,5.0792
2022-08-31,5.1543
2022-09-01,5.0667
2022-09-02,5.0792
2022-09-06,4.7832
2022-09-07,4.8624
2022-09-08,4.9625
2022-09-09,5.4921
2022-09-12,5.7757
2022-09-13,5.2085
2022-09-14,5.1209
2022-09-15,5.0709
2022-09-16,5.0292
2022-09-19,5.0042
2022-09-20,4.8582
2022-09-21,4.8666
2022-09-22,4.95
2022-09-23,4.8165
2022-09-26,4.9249
2022-09-27,4.8958
2022-09-28,5.025
2022-09-29,4.9875
2022-09-30,5.0
2022-10-03,5.0292
2022-10-04,5.221
2022-10-05,5.1752
2022-10-06,5.1501
2022-10-07,4.9875
2022-10-10,4.9166
2022-10-11,4.8624
2022-10-12,4.9083
2022-10-13,4.9833
2022-10-14,4.9208
2022-10-17,5.025
2022-10-18,4.9375
2022-10-19,4.9375
2022-10-20,4.8958
2022-10-21,4.9375
2022-10-24,4.9792
2022-10-25,5.2294
2022-10-26,5.3545
2022-10-27,5.3336
2022-10-28,5.3128
2022-10-31,5.2419
2022-11-01,5.2669
2022-11-02,5.2002
2022-11-03,5.2127
2022-11-04,5.4462
2022-11-07,5.3586
2022-11-08,4.6414
2022-11-09,4.0284
2022-11-10,4.5288
2022-11-11,4.0784
2022-11-14,4.0909
2022-11-15,4.2827
2022-11-16,4.1701
2022-11-17,4.2369
2022-11-18,4.2285
2022-11-21,3.9992
2022-11-22,4.0826
2022-11-23,4.2494
2022-11-25,4.2494
2022-11-28,4.166
2022-11-29,4.2369
2022-11-30,4.4621
2022-12-01,4.3953
2022-12-02,4.437
2022-12-05,4.3912
2022-12-06,4.4245
2022-12-07,4.3661
2022-12-08,4.4954
2022-12-09,4.4454
2022-12-12,4.4704
2022-12-13,4.6289
2022-12-14,4.6455
2022-12-15,4.5371
2022-12-16,4.3787
2022-12-19,4.3036
2022-12-20,4.3995
2022-12-21,4.3703
2022-12-22,4.362
2022-12-23,4.3787
2022-12-27,4.3244
2022-12-28,4.3161
2022-12-29,4.3161
2022-12-30,4.3495
2023-01-03,4.3745
2023-01-04,4.4162
2023-01-05,4.437
2023-01-06,4.4495
2023-01-09,4.5371
2023-01-10,4.6205
2023-01-11,4.6414
2023-01-12,5.0459
2023-01-13,5.1626
2023-01-17,5.6797
2023-01-18,5.4879
2023-01-19,5.5922
2023-01-20,5.9174
2023-01-23,6.1176
2023-01-24,6.0968
2023-01-25,6.0676
2023-01-26,6.1301
2023-01-27,6.1093
2023-01-30,5.9925
2023-01-31,6.1009
2023-02-01,6.2312
2023-02-02,6.3071
2023-02-03,6.1638
2023-02-06,6.0669
2023-02-07,6.1133
2023-02-08,6.0079
2023-02-09,5.7762
2023-02-10,5.7088
2023-02-13,5.7004
2023-02-14,5.8563
2023-02-15,6.3576
2023-02-16,6.4714
2023-02-17,6.543
2023-02-21,6.4335
2023-02-22,6.2523
2023-02-23,6.2986
2023-02-24,6.0753
2023-02-27,6.1006
2023-02-28,6.088
2023-03-01,6.1223
2023-03-02,6.1435
2023-03-03,5.8083
2023-03-06,5.8296
2023-03-07,5.7489
2023-03-08,5.7574
2023-03-09,5.2398
2023-03-10,5.1974
2023-03-13,6.3557
2023-03-14,6.5636
2023-03-15,6.3854
2023-03-16,6.5381
2023-03-17,7.0642
2023-03-20,7.2848
2023-03-21,7.3867
2023-03-22,6.9666
2023-03-23,7.4588
2023-03-24,7.2806
2023-03-27,7.043
2023-03-28,7.1618
2023-03-29,7.4206
2023-03-30,7.3103
2023-03-31,7.4333
2023-04-03,7.3046
2023-04-04,7.3351
2023-04-05,7.3394
2023-04-06,7.274
2023-04-10,7.614
2023-04-11,7.8493
2023-04-12,7.7535
2023-04-13,7.9147
2023-04-14,7.8929
2023-04-17,7.6489
2023-04-18,7.8537
2023-04-19,7.5835
2023-04-20,7.274
2023-04-21,7.0692
2023-04-24,7.0954
2023-04-25,7.1564
2023-04-26,7.2348
2023-04-27,7.7142
2023-04-28,7.5878
2023-05-01,7.1803
2023-05-02,7.4304
2023-05-03,7.3143
2023-05-04,7.475
2023-05-05,7.676
2023-05-08,7.0598
2023-05-09,7.1491
2023-05-10,7.1491
2023-05-11,6.9258
2023-05-12,6.8276
2023-05-15,7.0821
2023-05-16,6.9526
2023-05-17,7.0776
2023-05-18,6.9035
2023-05-19,6.9347
2023-05-22,6.9347
2023-05-23,7.0196
2023-05-24,6.765
2023-05-25,6.8052
2023-05-26,6.8945
2023-05-30,7.1982
2023-05-31,6.9303
2023-06-01,6.897
2023-06-02,7.021
2023-06-05,6.5756
2023-06-06,6.9797
2023-06-07,6.8144
2023-06-08,6.8374
