date,PX_LAST
2020-09-01,11990.68
2020-09-02,11386.59
2020-09-03,10672.31
2020-09-04,10524.48
2020-09-05,9985.01
2020-09-06,10253.02
2020-09-07,10176.89
2020-09-08,10001.74
2020-09-09,10315.58
2020-09-10,10280.56
2020-09-11,10324.84
2020-09-12,10452.44
2020-09-13,10292.97
2020-09-14,10681.69
2020-09-15,10763.8
2020-09-16,10991.83
2020-09-17,10913.96
2020-09-18,10866.03
2020-09-19,11061.84
2020-09-20,10886.64
2020-09-21,10476.38
2020-09-22,10483.02
2020-09-23,10305.81
2020-09-24,10630.25
2020-09-25,10707.13
2020-09-26,10721.63
2020-09-27,10725.0
2020-09-28,10856.23
2020-09-29,10734.33
2020-09-30,10710.73
2020-10-01,10597.25
2020-10-02,10535.19
2020-10-03,10589.11
2020-10-04,10675.45
2020-10-05,10732.67
2020-10-06,10570.92
2020-10-07,10664.5
2020-10-08,10884.41
2020-10-09,11042.05
2020-10-10,11367.5
2020-10-11,11380.36
2020-10-12,11565.26
2020-10-13,11405.58
2020-10-14,11361.28
2020-10-15,11509.78
2020-10-16,11354.82
2020-10-17,11350.74
2020-10-18,11452.3
2020-10-19,11686.48
2020-10-20,11946.21
2020-10-21,12757.36
2020-10-22,13105.75
2020-10-23,12890.28
2020-10-24,13124.55
2020-10-25,13031.11
2020-10-26,12976.34
2020-10-27,13657.9
2020-10-28,13218.86
2020-10-29,13560.52
2020-10-30,13529.39
2020-10-31,13767.58
2020-11-01,13828.18
2020-11-02,13652.89
2020-11-03,13748.33
2020-11-04,14051.68
2020-11-05,15104.42
2020-11-06,15397.51
2020-11-07,14708.98
2020-11-08,15403.94
2020-11-09,15431.58
2020-11-10,15328.75
2020-11-11,15720.86
2020-11-12,16117.13
2020-11-13,16254.08
2020-11-14,15946.41
2020-11-15,15861.98
2020-11-16,16815.2
2020-11-17,17691.59
2020-11-18,17614.08
2020-11-19,17998.64
2020-11-20,18669.92
2020-11-21,18646.66
2020-11-22,18613.63
