date,PX_LAST
2024-01-11,26.63
2024-01-12,24.97
2024-01-16,24.72
2024-01-17,24.41
2024-01-18,23.34
2024-01-19,23.8
2024-01-22,22.95
2024-01-23,22.32
2024-01-24,22.6
2024-01-25,22.76
2024-01-26,23.99
2024-01-29,24.67
2024-01-30,24.88
2024-01-31,24.3
2024-02-01,24.54
2024-02-02,24.5
2024-02-05,24.19
2024-02-06,24.6
2024-02-07,25.22
2024-02-08,26.03
2024-02-09,27.15
2024-02-12,28.66
2024-02-13,28.22
2024-02-14,29.55
2024-02-15,29.52
2024-02-16,29.62
2024-02-20,29.67
2024-02-21,29.08
2024-02-22,29.72
2024-02-23,29.16
2024-02-26,31.12
2024-02-27,32.59
2024-02-28,34.45
2024-02-29,35.42
2024-03-01,35.99
2024-03-04,38.65
2024-03-05,35.32
2024-03-06,38.29
2024-03-07,38.63
2024-03-08,39.55
2024-03-11,41.12
2024-03-12,40.73
2024-03-13,41.95
2024-03-14,39.51
2024-03-15,39.39
2024-03-18,38.14
2024-03-19,36.7
2024-03-20,37.55
2024-03-21,37.15
2024-03-22,36.41
2024-03-25,40.55
2024-03-26,39.63
2024-03-27,39.13
2024-03-28,40.47
2024-04-01,39.75
2024-04-02,37.6
2024-04-03,37.54
2024-04-04,39.08
2024-04-05,38.41
2024-04-08,40.95
2024-04-09,39.33
2024-04-10,40.0
2024-04-11,40.17
2024-04-12,38.14
2024-04-15,36.08
2024-04-16,35.75
2024-04-17,34.76
2024-04-18,36.21
2024-04-19,36.67
2024-04-22,37.93
2024-04-23,37.9
2024-04-24,36.41
2024-04-25,36.86
2024-04-26,36.32
2024-04-29,35.87
2024-04-30,33.57
2024-05-01,32.39
2024-05-02,33.8
2024-05-03,35.4
2024-05-06,36.01
2024-05-07,35.93
2024-05-08,35.38
2024-05-09,35.58
2024-05-10,34.58
2024-05-13,36.0
2024-05-14,35.07
2024-05-15,37.67
2024-05-16,37.15
2024-05-17,38.28
2024-05-20,39.97
2024-05-21,39.47
2024-05-22,39.71
2024-05-23,38.27
2024-05-24,39.46
2024-05-28,38.98
2024-05-29,38.32
2024-05-30,39.16
2024-05-31,38.55
2024-06-03,39.44
2024-06-04,40.17
2024-06-05,40.67
2024-06-06,40.16
2024-06-07,39.42
2024-06-10,39.59
2024-06-11,38.43
2024-06-12,38.45
2024-06-13,37.9
2024-06-14,37.3
2024-06-17,37.98
2024-06-18,36.64
2024-06-20,37.04
2024-06-21,36.58
2024-06-24,33.765
2024-06-25,35.3
2024-06-26,34.71
2024-06-27,34.98
2024-06-28,34.14
2024-07-01,36.0
2024-07-02,35.22
2024-07-03,34.44
2024-07-05,32.2
2024-07-08,32.16
2024-07-09,32.96
2024-07-10,32.67
2024-07-11,32.7
2024-07-12,32.85
2024-07-15,36.15
2024-07-16,37.17
2024-07-17,36.84
2024-07-18,36.22
2024-07-19,38.4
2024-07-22,38.93
2024-07-23,37.34
2024-07-24,37.42
2024-07-25,36.83
2024-07-26,38.79
2024-07-29,38.34
2024-07-30,37.55
2024-07-31,37.18
2024-08-01,36.07
2024-08-02,35.61
2024-08-05,30.48
2024-08-06,32.34
2024-08-07,31.19
2024-08-08,33.88
2024-08-09,34.6
2024-08-12,33.64
2024-08-13,34.64
2024-08-14,33.56
2024-08-15,32.5
2024-08-16,34.03
2024-08-19,33.62
2024-08-20,33.92
2024-08-21,35.13
2024-08-22,34.35
2024-08-23,36.28
2024-08-26,36.09
2024-08-27,35.38
2024-08-28,33.52
2024-08-29,33.69
2024-08-30,33.37
2024-09-03,32.98
2024-09-04,33.04
2024-09-05,31.85
2024-09-06,30.41
2024-09-09,32.51
2024-09-10,33.0
2024-09-11,32.8
2024-09-12,33.25
2024-09-13,34.04
2024-09-16,32.98
2024-09-17,34.1
2024-09-18,34.15
2024-09-19,36.01
2024-09-20,35.8
2024-09-23,36.04
2024-09-24,36.64
2024-09-25,35.97
2024-09-26,36.84
2024-09-27,37.39
2024-09-30,36.13
2024-10-01,35.13
2024-10-02,34.24
2024-10-03,34.72
2024-10-04,35.52
2024-10-07,36.06
2024-10-08,35.4
2024-10-09,34.68
2024-10-10,33.95
2024-10-11,35.94
2024-10-14,37.57
2024-10-15,38.17
2024-10-16,38.58
2024-10-17,38.05
2024-10-18,39.07
2024-10-21,38.57
2024-10-22,38.41
2024-10-23,37.81
2024-10-24,38.87
2024-10-25,38.01
2024-10-28,39.67
2024-10-29,41.33
2024-10-30,40.88
2024-10-31,39.78
2024-11-01,39.37
2024-11-04,38.25
2024-11-05,39.51
2024-11-06,43.4
2024-11-07,43.6
2024-11-08,43.69
2024-11-11,49.57
2024-11-12,51.05
2024-11-13,51.04
2024-11-14,49.73
2024-11-15,52.13
2024-11-18,52.13
2024-11-19,52.7
2024-11-20,53.72
2024-11-21,55.9
2024-11-22,56.49
2024-11-25,54.02
2024-11-26,51.7
2024-11-27,55.03
2024-11-29,55.21
2024-12-02,54.48
2024-12-03,54.46
2024-12-04,56.42
2024-12-05,56.4
2024-12-06,57.8
2024-12-09,54.73
2024-12-10,54.9
2024-12-11,57.72
2024-12-12,56.92
2024-12-13,57.91
2024-12-16,60.22
2024-12-17,60.73
2024-12-18,57.18
2024-12-19,54.72
2024-12-20,54.81
2024-12-23,52.87
2024-12-24,56.23
2024-12-26,54.3
2024-12-27,53.68
2024-12-30,53.55
2024-12-31,53.05
2025-01-02,55.37
2025-01-03,55.96
2025-01-06,58.17
2025-01-07,54.79
2025-01-08,53.34
2025-01-10,53.84
2025-01-13,53.22
2025-01-14,54.83
2025-01-15,56.64
2025-01-16,57.09
2025-01-17,59.62
2025-01-21,60.42
2025-01-22,59.38
2025-01-23,58.79
2025-01-24,59.7
2025-01-27,57.67
2025-01-28,57.58
2025-01-29,59.34
2025-01-30,59.72
2025-01-31,57.71
2025-02-03,57.58
2025-02-04,56.13
2025-02-05,55.33
2025-02-06,55.12
2025-02-07,54.47
2025-02-10,55.38
2025-02-11,54.11
2025-02-12,55.16
2025-02-13,54.74
2025-02-14,55.33
2025-02-18,53.51
2025-02-19,54.65
2025-02-20,56.04
2025-02-21,53.92
2025-02-24,53.41
2025-02-25,50.03
2025-02-26,47.96
2025-02-27,47.35
2025-02-28,47.9
