date,PX_LAST
2020-09-01,14.882
2020-09-02,15.0
2020-09-03,14.428
2020-09-04,14.219
2020-09-08,13.882
2020-09-09,14.115
2020-09-10,13.972
2020-09-11,14.113
2020-09-14,14.262
2020-09-15,15.575
2020-09-16,17.49
2020-09-17,16.361
2020-09-18,15.959
2020-09-21,15.216
2020-09-22,15.425
2020-09-23,14.828
2020-09-24,14.606
2020-09-25,14.613
2020-09-28,15.146
2020-09-29,14.969
2020-09-30,15.056
2020-10-01,14.896
2020-10-02,14.646
2020-10-05,14.821
2020-10-06,15.004
2020-10-07,15.309
2020-10-08,16.394
2020-10-09,16.473
2020-10-12,16.646
2020-10-13,16.608
2020-10-14,16.424
2020-10-15,16.597
2020-10-16,16.47
2020-10-19,16.414
2020-10-20,16.907
2020-10-21,18.105
2020-10-22,18.305
2020-10-23,18.43
2020-10-26,17.5
2020-10-27,17.558
2020-10-28,16.215
2020-10-29,16.196
2020-10-30,16.707
2020-11-02,16.657
2020-11-03,17.195
2020-11-04,17.253
2020-11-05,18.168
2020-11-06,18.562
2020-11-09,18.5005
2020-11-10,18.614
2020-11-11,19.216
2020-11-12,18.694
2020-11-13,19.227
2020-11-16,20.393
2020-11-17,20.82
2020-11-18,21.296
2020-11-19,21.711
2020-11-20,22.211
2020-11-23,22.076
2020-11-24,24.723
2020-11-25,27.0275
2020-11-27,27.126
2020-11-30,34.277
2020-12-01,32.4
2020-12-02,32.132
2020-12-03,33.16
2020-12-04,32.8
2020-12-07,33.622
2020-12-08,28.945
2020-12-09,28.621
2020-12-10,29.033
2020-12-11,28.592
2020-12-14,27.953
2020-12-15,28.579
2020-12-16,29.912
2020-12-17,29.78
2020-12-18,30.12
2020-12-21,31.76
2020-12-22,33.15
2020-12-23,33.718
2020-12-24,32.261
2020-12-28,37.0
2020-12-29,36.607
2020-12-30,38.997
2020-12-31,38.855
2021-01-04,42.522
2021-01-05,42.863
2021-01-06,48.055
2021-01-07,53.575
2021-01-08,53.164
2021-01-11,49.549
2021-01-12,51.424
2021-01-13,51.926
2021-01-14,63.1
2021-01-15,57.807
2021-01-19,59.221
2021-01-20,55.082
2021-01-21,52.046
2021-01-22,57.703
2021-01-25,57.142
2021-01-26,55.981
2021-01-27,54.01
2021-01-28,57.8375
2021-01-29,61.731
2021-02-01,63.456
2021-02-02,68.792
2021-02-03,74.119
2021-02-04,76.559
2021-02-05,80.6
2021-02-08,104.1
2021-02-09,127.294
2021-02-10,97.448
2021-02-11,100.994
2021-02-12,103.431
2021-02-16,95.5
2021-02-17,94.18
2021-02-18,92.778
2021-02-19,96.372
2021-02-22,87.6
2021-02-23,69.123
2021-02-24,81.769
2021-02-25,73.161
2021-02-26,75.041
2021-03-01,78.244
2021-03-02,74.85
2021-03-03,73.157
2021-03-04,64.566
2021-03-05,62.024
2021-03-08,62.419
2021-03-09,71.599
2021-03-10,75.655
2021-03-11,80.375
2021-03-12,78.4
2021-03-15,76.901
2021-03-16,72.429
2021-03-17,77.099
2021-03-18,73.205
2021-03-19,77.704
2021-03-22,72.456
2021-03-23,67.721
2021-03-24,62.157
2021-03-25,62.091
2021-03-26,62.4
2021-03-29,63.134
2021-03-30,65.398
2021-03-31,67.88
2021-04-01,70.356
2021-04-05,72.055
2021-04-06,70.458
2021-04-07,65.62
2021-04-08,69.012
2021-04-09,71.1
2021-04-12,71.824
2021-04-13,84.854
2021-04-14,73.55
2021-04-15,74.015
2021-04-16,69.362
2021-04-19,63.752
2021-04-20,64.645
2021-04-21,65.046
2021-04-22,59.82
2021-04-23,61.304
2021-04-26,65.882
2021-04-27,67.699
2021-04-28,68.082
2021-04-29,65.501
2021-04-30,65.716
2021-05-03,63.562
2021-05-04,61.688
2021-05-05,62.345
2021-05-06,60.908
2021-05-07,62.046
2021-05-10,56.946
2021-05-11,57.696
2021-05-12,54.188
2021-05-13,48.808
2021-05-14,52.131
2021-05-17,48.935
2021-05-18,48.72
2021-05-19,45.486
2021-05-20,47.266
2021-05-21,45.052
2021-05-24,47.245
2021-05-25,46.967
2021-05-26,48.279
2021-05-27,49.385
2021-05-28,47.0
2021-06-01,47.776
2021-06-02,49.85
2021-06-03,48.864
2021-06-04,48.467
2021-06-07,46.981
2021-06-08,45.938
2021-06-09,51.299
2021-06-10,50.865
2021-06-11,51.644
2021-06-14,59.849
2021-06-15,63.054
2021-06-16,61.982
2021-06-17,63.081
2021-06-18,64.646
2021-06-21,58.367
2021-06-22,55.372
2021-06-23,55.3
2021-06-24,58.188
2021-06-25,55.005
2021-06-28,62.417
2021-06-29,66.899
2021-06-30,66.45
2021-07-01,65.086
2021-07-02,63.561
2021-07-06,63.429
2021-07-07,63.986
2021-07-08,61.844
2021-07-09,62.866
2021-07-12,58.869
2021-07-13,57.988
2021-07-14,56.043
2021-07-15,54.104
2021-07-16,52.309
2021-07-19,49.872
2021-07-20,50.178
2021-07-21,55.694
2021-07-22,55.594
2021-07-23,53.971
2021-07-26,68.25
2021-07-27,63.061
2021-07-28,64.665
2021-07-29,62.501
2021-07-30,62.601
2021-08-02,63.779
2021-08-03,62.506
2021-08-04,67.093
2021-08-05,71.562
2021-08-06,74.872
2021-08-09,76.773
2021-08-10,75.049
2021-08-11,74.749
2021-08-12,72.099
2021-08-13,72.8
2021-08-16,69.751
2021-08-17,66.369
2021-08-18,65.505
2021-08-19,67.626
2021-08-20,71.656
2021-08-23,71.851
2021-08-24,71.55
2021-08-25,72.671
2021-08-26,69.366
2021-08-27,70.72
2021-08-30,70.299
2021-08-31,69.43
2021-09-01,70.25
2021-09-02,69.571
2021-09-03,71.226
2021-09-07,64.801
2021-09-08,63.862
2021-09-09,64.062
2021-09-10,61.557
2021-09-13,64.27
2021-09-14,61.848
2021-09-15,63.3
2021-09-16,63.3
2021-09-17,61.429
2021-09-20,58.839
2021-09-21,58.102
2021-09-22,59.961
2021-09-23,61.657
2021-09-24,59.939
2021-09-27,59.475
2021-09-28,57.351
2021-09-29,56.632
2021-09-30,57.84
2021-10-01,61.246
2021-10-04,60.725
2021-10-05,65.101
2021-10-06,67.381
2021-10-07,69.279
2021-10-08,70.882
2021-10-11,73.18
2021-10-12,71.065
2021-10-13,72.63
2021-10-14,72.395
2021-10-15,74.985
2021-10-18,73.964
2021-10-19,72.725
2021-10-20,75.818
2021-10-21,73.543
2021-10-22,71.852
2021-10-25,74.602
2021-10-26,73.486
2021-10-27,71.502
2021-10-28,71.713
2021-10-29,71.506
2021-11-01,73.612
2021-11-02,79.414
2021-11-03,81.025
2021-11-04,80.0
2021-11-05,79.751
2021-11-08,86.0
2021-11-09,85.901
2021-11-10,81.634
2021-11-11,81.836
2021-11-12,81.173
2021-11-15,79.5
2021-11-16,75.202
2021-11-17,75.3
2021-11-18,72.736
2021-11-19,71.831
2021-11-22,69.002
2021-11-23,69.677
2021-11-24,70.09
2021-11-26,66.3
2021-11-29,69.548
2021-11-30,72.143
2021-12-01,70.547
2021-12-02,68.336
2021-12-03,63.099
2021-12-06,59.647
2021-12-07,62.817
2021-12-08,63.654
2021-12-09,59.188
2021-12-10,60.084
2021-12-13,57.164
2021-12-14,58.038
2021-12-15,59.859
2021-12-16,56.694
2021-12-17,57.158
2021-12-20,54.639
2021-12-21,56.75
2021-12-22,56.999
2021-12-23,59.721
2021-12-27,60.828
2021-12-28,56.797
2021-12-29,55.609
2021-12-30,56.234
2021-12-31,54.449
2022-01-03,55.826
2022-01-04,55.107
2022-01-05,50.91
2022-01-06,49.862
2022-01-07,48.295
2022-01-10,48.195
2022-01-11,50.656
2022-01-12,51.464
2022-01-13,48.959
2022-01-14,49.956
2022-01-18,46.828
2022-01-19,46.042
2022-01-20,45.753
2022-01-21,37.589
2022-01-24,37.045
2022-01-25,36.505
2022-01-26,35.365
2022-01-27,31.945
2022-01-28,33.895
2022-01-31,36.801
2022-02-01,37.3
2022-02-02,34.884
2022-02-03,34.009
2022-02-04,39.164
2022-02-07,41.347
2022-02-08,42.543
2022-02-09,44.66
2022-02-10,43.148
2022-02-11,41.101
2022-02-14,40.949
2022-02-15,43.724
2022-02-16,43.498
2022-02-17,40.46
2022-02-18,39.597
2022-02-22,37.77
2022-02-23,36.503
2022-02-24,39.696
2022-02-25,40.5
2022-02-28,44.3
