date,PX_LAST
2020-09-05,10086.94
2020-09-12,10441.8
2020-09-19,11093.84
2020-09-26,10720.88
2020-10-03,10572.62
2020-10-10,11367.8
2020-10-17,11354.91
2020-10-24,13113.04
2020-10-31,13850.1
2020-11-07,14837.0
2020-11-14,16008.29
2020-11-21,18670.93
2020-11-28,17763.11
2020-12-05,19020.64
2020-12-12,18800.18
2020-12-19,23992.92
2020-12-26,26670.1
2021-01-02,31702.36
2021-01-09,40858.59
2021-01-16,35935.02
2021-01-23,32366.47
2021-01-30,34694.89
2021-02-06,40093.11
2021-02-13,47177.95
2021-02-20,56537.03
2021-02-27,46864.06
2021-03-06,48602.01
2021-03-13,61078.03
2021-03-20,58541.76
2021-03-27,55887.89
2021-04-03,58064.8
2021-04-10,58568.57
2021-04-17,60870.13
2021-04-24,50984.81
2021-05-01,57725.77
2021-05-08,59004.37
2021-05-15,48242.61
2021-05-22,38084.88
2021-05-29,34269.86
2021-06-05,35854.31
2021-06-12,36020.18
2021-06-19,36119.11
2021-06-26,31305.79
2021-07-03,34728.55
2021-07-10,33332.25
2021-07-17,31737.26
2021-07-24,33939.65
2021-07-31,41540.22
2021-08-07,43975.95
2021-08-14,46666.78
2021-08-21,49011.76
2021-08-28,48755.08
2021-09-04,50182.7
2021-09-11,45319.68
2021-09-18,47994.88
2021-09-25,42678.81
2021-10-02,48019.13
2021-10-09,54670.87
2021-10-16,61014.11
2021-10-23,61124.51
2021-10-30,61682.78
2021-11-06,61201.83
2021-11-13,64367.64
2021-11-20,59651.08
2021-11-27,54625.03
2021-12-04,48765.22
2021-12-11,48813.56
2021-12-18,46971.17
2021-12-25,50986.51
2022-01-01,47333.2
2022-01-08,41788.38
2022-01-15,43333.72
2022-01-22,35402.77
2022-01-29,38388.74
2022-02-05,41673.4
2022-02-12,41899.77
2022-02-19,39942.63
2022-02-26,39480.74
2022-03-05,39380.38
2022-03-12,39102.38
2022-03-19,42219.42
2022-03-26,44590.9
2022-04-02,46196.63
2022-04-09,42447.77
2022-04-16,40294.88
2022-04-23,39808.74
2022-04-30,38334.7
2022-05-07,35768.23
2022-05-14,29341.75
2022-05-21,29391.93
2022-05-28,28999.04
2022-06-04,29733.76
2022-06-11,28380.38
2022-06-18,17785.09
2022-06-25,21214.51
2022-07-02,19238.99
2022-07-09,21672.98
2022-07-16,21204.61
2022-07-23,22330.07
2022-07-30,23972.77
2022-08-06,23174.48
2022-08-13,24494.84
2022-08-20,20819.56
2022-08-27,20009.56
2022-09-03,19743.94
2022-09-10,21431.35
2022-09-17,20080.05
2022-09-24,19144.41
2022-10-01,19252.71
2022-10-08,19456.38
2022-10-15,19097.54
2022-10-22,19219.63
2022-10-29,20864.33
2022-11-05,21355.89
2022-11-12,16793.47
2022-11-19,16660.59
2022-11-26,16509.39
2022-12-03,16950.39
2022-12-10,17129.35
2022-12-17,16718.5
2022-12-24,16829.82
2022-12-31,16539.5
2023-01-07,16938.55
2023-01-14,20903.7
2023-01-21,23204.05
2023-01-28,23008.03
2023-02-04,23417.15
2023-02-11,21828.1
2023-02-18,24621.25
2023-02-25,22940.51
2023-03-04,22216.8
2023-03-11,20503.75
2023-03-18,27409.3
2023-03-25,27384.45
2023-04-01,28463.77
2023-04-08,27932.43
2023-04-15,30312.22
2023-04-22,27645.8
2023-04-29,29242.06
2023-05-06,28851.54
2023-05-13,26918.96
2023-05-20,27024.24
2023-05-27,26760.83
2023-06-03,27071.27
2023-06-10,25767.85
2023-06-17,26534.66
2023-06-24,30523.34
2023-07-01,30592.81
2023-07-08,30163.19
2023-07-15,30314.36
2023-07-22,29833.35
2023-07-29,29356.5
2023-08-05,29032.77
2023-08-12,29410.47
2023-08-19,26059.87
2023-08-26,26024.25
2023-09-02,25849.6
2023-09-09,25864.03
2023-09-16,26540.38
2023-09-23,26596.24
2023-09-30,27072.54
2023-10-07,27937.45
2023-10-14,26850.06
2023-10-21,30028.03
2023-10-28,34135.43
2023-11-04,34780.72
2023-11-11,36988.0
2023-11-18,36566.59
2023-11-25,37813.68
2023-12-02,39581.59
2023-12-09,43986.01
2023-12-16,42270.56
2023-12-23,43803.74
2023-12-30,42303.24
2024-01-06,43921.45
2024-01-13,42962.51
2024-01-20,41702.95
2024-01-27,42151.09
2024-02-03,43028.9
2024-02-10,47954.54
2024-02-17,51808.28
2024-02-24,51561.02
2024-03-02,61971.26
2024-03-09,68532.1
2024-03-16,67096.54
2024-03-23,65011.85
2024-03-30,69857.12
2024-04-06,68409.01
2024-04-13,61967.01
2024-04-20,64756.57
2024-04-27,63233.89
2024-05-04,63880.21
2024-05-11,60996.96
2024-05-18,66991.2
2024-05-25,69096.85
2024-06-01,67742.95
2024-06-08,69371.48
2024-06-15,66010.76
2024-06-22,64262.16
2024-06-29,60949.7
